City,Cloudiness,Humidity,Latitude,Temperature,Wind_Speed
yizheng,6,79,24.67,67.37,1.57
bluff,88,45,-23.58,73.85,3.78
punta arenas,0,93,-53.16,35.6,13.87
panguna,84,72,-6.32,85.01,8.95
arraial do cabo,3,75,-22.97,73.85,4.65
praia,0,72,-20.25,68.0,4.7
vaini,40,88,15.34,71.6,5.82
bitung,20,62,1.44,89.6,1.12
lebu,0,58,8.96,55.13,0.49
vao,15,90,59.1,44.87,11.5
araouane,13,18,18.9,97.07,8.55
sao joao da barra,0,96,-21.64,66.11,1.88
kalmunai,19,91,7.42,76.55,3.24
hithadhoo,56,73,-0.6,83.93,5.23
sechura,88,83,-5.56,68.99,16.35
busselton,0,70,-33.64,50.0,16.64
tucurui,82,92,-3.77,75.47,2.66
koumac,3,75,-20.56,76.19,5.93
belmonte,3,90,40.36,51.01,1.01
port blair,40,94,11.67,80.6,2.24
pasil,100,95,17.39,68.45,0.87
namatanai,72,82,-3.66,80.87,5.99
laurentides,35,67,46.43,55.13,7.63
college,1,33,64.86,75.99,5.82
talcahuano,90,100,-36.72,55.4,6.93
qaanaaq,100,96,77.48,28.49,7.7
ugoofaaru,100,76,5.67,85.01,12.21
port alfred,60,37,-33.59,77.0,8.99
okato,3,65,-39.19,64.99,7.0
mataura,98,96,-46.19,54.0,2.39
kaitangata,100,79,-46.28,54.0,3.0
dehloran,0,21,32.69,79.25,2.44
tuktoyaktuk,40,70,69.44,42.8,11.41
atuona,50,73,-9.8,81.95,10.98
trstena,0,93,49.36,57.0,2.24
puerto ayora,20,65,-0.74,80.6,13.87
carauari,62,82,-4.88,77.45,1.54
cidreira,100,84,-30.17,64.49,7.43
constitucion,75,11,23.99,86.0,6.93
bilma,56,10,18.69,88.43,7.61
ketchikan,1,36,55.34,77.0,11.41
khatanga,51,99,71.98,37.13,8.41
cayenne,20,94,4.94,77.0,4.65
itarema,89,94,-2.92,76.37,6.24
barrow,100,76,-38.31,50.99,6.49
sobolevo,23,93,54.43,46.67,8.32
kropotkin,78,79,45.43,60.17,16.17
geraldton,75,39,49.72,50.0,9.17
raudeberg,1,65,61.99,46.4,11.41
markala,64,38,13.69,92.93,9.84
surgana,0,85,20.56,76.55,2.48
nanortalik,64,83,60.14,38.03,1.3
pevek,63,93,69.7,33.89,8.57
vestmannaeyjar,100,81,63.44,44.87,9.01
jamestown,31,64,-33.21,54.05,15.21
